date,temperature,humidity,rainfall,sunshine_hours
2022-05-01,30.5,65.0,1.0,7.8
2022-05-02,28.7,67.0,6.0,5.3
2022-05-03,26.2,82.0,1.0,2.1
2022-05-04,27.0,83.0,14.0,4.1
2022-05-05,28.7,76.0,1.0,5.8
2022-05-06,28.2,74.0,0.0,5.6
2022-05-07,29.2,76.0,4.0,6.6
2022-05-08,30.5,69.0,0.0,5.9
2022-05-09,27.8,80.0,25.0,0.0
2022-05-10,26.4,92.0,1.0,0.5
2022-05-11,27.4,89.0,37.0,0.8
2022-05-12,28.8,81.0,0.0,3.4
2022-05-13,28.7,82.0,0.0,2.0
2022-05-14,30.7,73.0,1.0,2.2
2022-05-15,31.0,72.0,0.0,6.4
2022-05-16,31.2,73.0,0.0,7.0
2022-05-17,31.2,74.0,0.0,4.7
2022-05-18,31.8,71.0,0.0,7.9
2022-05-19,29.8,74.0,0.0,7.1
2022-05-20,29.4,73.0,0.0,3.9
2022-05-21,26.4,77.0,42.0,3.3
2022-05-22,30.1,69.0,14.0,4.1
2022-05-23,30.8,70.0,0.0,8.7
2022-05-24,30.4,67.0,0.0,7.8
2022-05-25,27.3,81.0,0.0,1.0
2022-05-26,29.3,74.0,39.0,7.7
2022-05-27,29.3,62.0,0.0,5.9
2022-05-28,29.3,75.0,0.0,1.7
2022-05-29,28.8,72.0,0.0,1.6
2022-05-30,27.9,87.0,0.0,0.0
2022-05-31,29.3,77.0,31.0,2.4
2022-06-01,29.3,81.0,0.0,2.1
2022-06-02,29.7,79.0,19.0,2.6
2022-06-03,29.4,82.0,2.0,1.0
2022-06-04,28.6,82.0,12.0,1.3
2022-06-05,31.3,76.0,0.0,5.7
2022-06-06,31.0,70.0,0.0,4.6
2022-06-07,30.5,76.0,0.0,1.0
2022-06-08,31.7,74.0,0.0,5.5
2022-06-09,25.9,88.0,0.0,0.0
2022-06-10,29.5,75.0,64.0,6.9
2022-06-11,30.5,78.0,0.0,6.2
2022-06-12,30.9,76.0,0.0,2.5
2022-06-13,30.7,78.0,0.0,2.3
2022-06-14,30.4,76.0,2.0,2.0
2022-06-15,29.9,78.0,0.0,0.1
2022-06-16,29.2,81.0,1.0,1.1
2022-06-17,26.7,92.0,2.0,0.8
2022-06-18,27.5,89.0,34.0,0.7
2022-06-19,28.0,84.0,3.0,0.4
2022-06-20,27.5,83.0,0.0,3.1
2022-06-21,27.5,83.0,12.0,6.5
2022-06-22,29.2,79.0,0.0,1.3
2022-06-23,28.7,79.0,0.0,5.6
2022-06-24,29.9,73.0,1.0,6.0
2022-06-25,29.7,74.0,0.0,9.3
2022-06-26,30.7,73.0,0.0,9.4
2022-06-27,30.9,72.0,0.0,5.5
2022-06-28,30.6,74.0,0.0,1.0
2022-06-29,29.5,81.0,0.0,0.0
2022-06-30,28.4,88.0,16.0,0.0
2022-07-01,29.8,78.0,5.0,2.2
2022-07-02,30.2,74.0,3.0,5.8
2022-07-03,29.6,78.0,0.0,2.6
2022-07-04,30.7,74.0,9.0,5.7
2022-07-05,32.2,72.0,0.0,3.3
2022-07-06,30.8,75.0,0.0,0.4
2022-07-07,30.5,80.0,0.0,6.9
2022-07-08,31.1,73.0,0.0,1.3
2022-07-09,31.6,76.0,0.0,7.4
2022-07-10,30.6,74.0,0.0,10.1
2022-07-11,30.6,74.0,0.0,5.8
2022-07-12,31.4,69.0,0.0,8.9
2022-07-13,31.7,67.0,0.0,8.6
2022-07-14,31.7,69.0,0.0,9.2
2022-07-15,31.5,72.0,2.0,7.1
2022-07-16,31.6,68.0,3.0,7.7
2022-07-17,31.2,73.0,0.0,7.9
2022-07-18,30.7,74.0,0.0,5.7
2022-07-19,30.3,77.0,0.0,7.1
2022-07-20,29.3,83.0,2.0,0.5
2022-07-21,30.7,75.0,2.0,6.4
2022-07-22,31.7,71.0,0.0,5.0
2022-07-23,30.4,75.0,0.0,4.6
2022-07-24,27.6,86.0,2.0,0.0
2022-07-25,28.8,78.0,6.0,2.4
2022-07-26,28.1,85.0,0.0,0.7
2022-07-27,30.5,71.0,1.0,5.6
2022-07-28,30.0,77.0,9.0,3.3
2022-07-29,30.9,72.0,7.0,5.8
2022-07-30,31.0,71.0,0.0,0.9
2022-07-31,29.6,82.0,0.0,0.2
2022-08-01,28.6,84.0,10.0,1.6
2022-08-02,29.5,83.0,0.0,0.0
2022-08-03,29.8,81.0,0.0,1.3
2022-08-04,29.7,81.0,3.0,3.3
2022-08-05,31.4,71.0,1.0,6.8
2022-08-06,30.1,76.0,10.0,5.2
2022-08-07,31.4,70.0,14.0,8.6
2022-08-08,30.7,71.0,0.0,7.1
2022-08-09,29.8,70.0,0.0,7.5
2022-08-10,28.7,74.0,0.0,1.8
2022-08-11,29.4,74.0,0.0,7.1
2022-08-12,30.3,76.0,0.0,6.2
2022-08-13,29.2,77.0,5.0,2.6
2022-08-14,28.4,83.0,4.0,2.2
2022-08-15,29.7,77.0,37.0,5.1
2022-08-16,31.1,72.0,0.0,8.7
2022-08-17,31.9,73.0,0.0,5.5
2022-08-18,32.0,69.0,0.0,9.4
2022-08-19,29.9,73.0,1.0,3.9
2022-08-20,30.5,72.0,2.0,7.5
2022-08-21,31.4,70.0,0.0,7.8
2022-08-22,30.5,80.0,0.0,4.7
2022-08-23,29.5,80.0,26.0,4.4
2022-08-24,29.1,77.0,7.0,6.8
2022-08-25,30.3,73.0,0.0,4.6
2022-08-26,31.2,71.0,0.0,7.6
2022-08-27,30.1,77.0,0.0,0.6
2022-08-28,29.5,79.0,0.0,2.3
2022-08-29,31.2,72.0,10.0,8.7
2022-08-30,31.6,71.0,0.0,9.3
2022-08-31,31.7,69.0,0.0,9.2
2022-09-01,31.2,74.0,0.0,3.5
2022-09-02,30.0,77.0,0.0,5.1
2022-09-03,29.2,82.0,22.0,10.9
2022-09-04,28.7,85.0,16.0,0.5
2022-09-05,28.6,87.0,1.0,3.7
2022-09-06,28.3,88.0,18.0,1.5
2022-09-07,30.2,79.0,14.0,5.6
2022-09-08,30.2,79.0,1.0,7.4
2022-09-09,31.3,71.0,23.0,8.3
2022-09-10,29.3,78.0,0.0,2.4
2022-09-11,27.9,83.0,0.0,2.2
2022-09-12,26.7,89.0,13.0,0.0
2022-09-13,26.0,94.0,32.0,0.0
2022-09-14,25.9,96.0,53.0,0.0
2022-09-15,28.7,83.0,66.0,4.4
2022-09-16,28.4,83.0,0.0,0.0
2022-09-17,29.7,80.0,1.0,5.1
2022-09-18,28.9,86.0,1.0,0.0
2022-09-19,30.0,75.0,1.0,6.5
2022-09-20,29.6,74.0,0.0,6.4
2022-09-21,30.1,75.0,0.0,4.9
2022-09-22,30.3,74.0,0.0,8.1
2022-09-23,30.0,76.0,0.0,3.1
2022-09-24,29.8,77.0,0.0,2.5
2022-09-25,28.8,81.0,0.0,2.0
2022-09-26,28.5,86.0,0.0,1.6
2022-09-27,29.2,81.0,20.0,1.7
2022-09-28,29.6,82.0,0.0,1.6
2022-09-29,29.9,80.0,0.0,2.2
2022-09-30,31.1,74.0,0.0,8.1
2022-10-01,30.6,76.0,0.0,0.7
2022-10-02,27.7,87.0,2.0,0.5
2022-10-03,27.2,89.0,12.0,0.1
2022-10-04,28.9,79.0,15.0,5.1
2022-10-05,29.6,73.0,0.0,5.8
2022-10-06,28.9,77.0,0.0,6.7
2022-10-07,29.6,74.0,0.0,4.6
2022-10-08,31.1,68.0,0.0,8.3
2022-10-09,30.2,75.0,0.0,6.0
2022-10-10,29.7,74.0,0.0,7.3
2022-10-11,29.4,76.0,5.0,7.2
2022-10-12,27.1,85.0,0.0,2.2
2022-10-13,28.5,77.0,2.0,5.6
2022-10-14,29.3,75.0,0.0,6.4
2022-10-15,29.6,60.0,0.0,8.4
2022-10-16,29.5,61.0,0.0,8.4
2022-10-17,29.5,67.0,0.0,8.4
2022-10-18,29.0,76.0,0.0,5.7
2022-10-19,29.1,62.0,0.0,4.9
2022-10-20,29.4,61.0,0.0,7.8
2022-10-21,29.5,66.0,0.0,8.5
2022-10-22,29.7,62.0,0.0,7.2
2022-10-23,27.9,78.0,0.0,0.0
2022-10-24,21.9,97.0,5.0,0.0
2022-10-25,23.5,85.0,255.0,1.8
2022-10-26,26.3,79.0,1.0,8.1
2022-10-27,25.8,74.0,0.0,5.9
2022-10-28,26.1,69.0,0.0,9.0
2022-10-29,26.3,70.0,0.0,7.4
2022-10-30,27.3,68.0,0.0,7.0
2022-10-31,28.2,73.0,0.0,5.7
2022-11-01,28.3,69.0,0.0,6.9
2022-11-02,28.2,64.0,0.0,8.0
2022-11-03,26.0,65.0,0.0,3.0
2022-11-04,26.7,77.0,0.0,6.5
2022-11-05,27.2,77.0,0.0,4.9
2022-11-06,26.7,67.0,0.0,6.0
2022-11-07,25.8,64.0,0.0,8.1
2022-11-08,26.4,69.0,0.0,5.4
2022-11-09,26.6,61.0,0.0,6.6
2022-11-10,26.0,62.0,0.0,6.5
2022-11-11,25.2,62.0,0.0,7.1
2022-11-12,25.7,63.0,0.0,7.3
2022-11-13,25.2,55.0,0.0,5.8
2022-11-14,24.1,63.0,0.0,7.2
2022-11-15,24.7,69.0,0.0,6.7
2022-11-16,25.1,62.0,0.0,6.7
2022-11-17,24.5,63.0,0.0,6.7
2022-11-18,23.7,63.0,0.0,6.1
2022-11-19,24.0,68.0,0.0,4.7
2022-11-20,25.8,56.0,0.0,5.9
2022-11-21,24.5,57.0,0.0,6.4
2022-11-22,23.7,61.0,0.0,5.8
2022-11-23,24.2,57.0,0.0,6.3
2022-11-24,23.7,64.0,0.0,6.0
2022-11-25,23.8,71.0,0.0,6.0
2022-11-26,24.7,63.0,0.0,6.0
2022-11-27,23.9,66.0,0.0,5.9
2022-11-28,25.2,60.0,0.0,5.6
2022-11-29,25.6,57.0,0.0,4.9
2022-11-30,25.7,58.0,0.0,0.6
2022-12-01,24.4,61.0,0.0,6.2
2022-12-02,23.8,58.0,0.0,5.7
2022-12-03,23.5,58.0,0.0,5.6
2022-12-04,23.0,65.0,0.0,5.7
2022-12-05,23.3,64.0,0.0,5.4
2022-12-06,23.6,62.0,0.0,5.3
2022-12-07,23.3,60.0,0.0,5.6
2022-12-08,22.2,66.0,0.0,4.2
2022-12-09,21.9,69.0,0.0,5.0
2022-12-10,23.3,62.0,0.0,5.0
2022-12-11,23.2,63.0,0.0,5.8
2022-12-12,21.9,65.0,0.0,6.1
2022-12-13,21.7,71.0,0.0,4.2
2022-12-14,21.9,74.0,0.0,1.2
2022-12-15,20.6,68.0,0.0,3.1
2022-12-16,20.9,68.0,0.0,3.5
2022-12-17,20.6,75.0,0.0,4.3
2022-12-18,19.8,78.0,0.0,4.7
2022-12-19,20.8,72.0,0.0,5.5
2022-12-20,20.5,76.0,0.0,4.2
2022-12-21,22.0,69.0,0.0,4.3
2022-12-22,21.6,69.0,0.0,4.0
2022-12-23,20.5,58.0,0.0,5.7
2022-12-24,19.8,65.0,0.0,5.7
2022-12-25,20.7,69.0,0.0,5.1
2022-12-26,22.9,71.0,0.0,5.0
2022-12-27,21.0,84.0,0.0,0.0
2022-12-28,20.0,81.0,4.0,3.4
2022-12-29,17.9,78.0,0.0,4.7
2022-12-30,17.3,83.0,0.0,0.0
2022-12-31,17.3,84.0,0.0,3.6
2023-01-01,17.9,81.0,0.0,4.0
2023-01-02,19.1,71.0,0.0,5.5
