Year,Quantity(000't)
2015,4
2014,25
2013,3386
2012,2767
2011,821
2010,2922
2009,3455
2008,7063
2007,5973
2006,6034
2005,4054
2004,238
2003,188
2002,242
2001,400
2000,500
1999,130
1998,69
1997,25
1995,37
1994,117
1993,15
1989,4
1982,6837
1981,4
1978,6
1977,8
